subject,body,category
Payment failed,My payment was declined while making a purchase,Billing
Refund pending,I requested a refund but have not received it,Billing
Wrong invoice,The amount shown on my invoice is incorrect,Billing
Double charged,I was charged twice for the same order,Billing
Payment issue,I am unable to complete my payment,Billing
Invoice request,Please send me the invoice for my purchase,Billing
Transaction failed,My transaction failed but money was deducted,Billing
Subscription payment,My subscription payment is not going through,Billing
Cannot login,I cannot log in to my account,Technical
Website error,The website shows an error when I open it,Technical
Password reset,The password reset link is not working,Technical
Application crash,The mobile application crashes when I open it,Technical
System not working,The system is not working properly,Technical
Page loading,The webpage is stuck and keeps loading,Technical
Server error,I am getting a server error,Technical
Account access,I cannot access my account,Technical
Leave request,I want to apply for annual leave,HR
Salary question,I have a question about my salary,HR
Employee details,I need to update my employee information,HR
Leave balance,Please tell me my remaining leave balance,HR
Joining date,I need information about my joining date,HR
HR policy,Where can I find the employee HR policies,HR
Payslip request,I need a copy of my latest payslip,HR
Interview status,I want to know the status of my interview,HR
Product information,I need more information about your product,General
Business hours,What are your working hours,General
Contact information,How can I contact your company,General
Company information,Please provide information about your company,General
Feedback,I would like to provide feedback about your service,General
Service details,Can you explain the services you provide,General
Location information,Where is your office located,General
Product availability,Is this product currently available,General
Billing dispute,I want to dispute a charge on my account,Billing
Card declined,My credit card was declined during checkout,Billing
Overcharged,I was overcharged for my subscription plan,Billing
Invoice not received,I have not received my invoice for this month,Billing
Refund status,What is the status of my refund request,Billing
Payment method,I want to change my payment method,Billing
Subscription cancelled,My subscription was cancelled unexpectedly,Billing
Tax invoice,I need a tax invoice for my purchase,Billing
Incorrect charge,There is an incorrect charge on my account,Billing
Bank transfer,How do I pay via bank transfer,Billing
Credit note,I need a credit note for the returned item,Billing
Late payment fee,I was charged a late payment fee unfairly,Billing
Auto renewal,My plan was auto-renewed without my consent,Billing
Coupon not applied,My coupon code was not applied to the order,Billing
Partial refund,I only received a partial refund instead of full,Billing
Failed bank transfer,My bank transfer failed but money was deducted,Billing
Promo code issue,The promotional code is not working,Billing
Receipt request,I need a receipt for my recent payment,Billing
Billing address update,I need to update my billing address,Billing
GST calculation,The GST amount on my invoice is wrong,Billing
Annual plan charge,I was charged monthly instead of annually,Billing
Duplicate invoice,I received two invoices for the same order,Billing
EMI option,Is there an EMI option available for this product,Billing
Currency mismatch,I was charged in the wrong currency,Billing
Wallet balance,My wallet balance is not reflecting correctly,Billing
Upgrade billing,I upgraded my plan but was charged the old rate,Billing
Downgrade refund,I downgraded my plan and need a refund of the difference,Billing
Trial charge,I was charged during my free trial period,Billing
Invoice format,Can I get my invoice in a different format,Billing
Payment history,Where can I see my full payment history,Billing
Billing cycle change,I want to change my billing cycle from monthly to yearly,Billing
Cashback not received,I did not receive the cashback promised on my purchase,Billing
Tax exemption,I am a tax-exempt organization and need taxes removed,Billing
Direct debit issue,My direct debit payment failed this month,Billing
Subscription upgrade,I want to upgrade my subscription plan,Billing
Bug report,I found a bug in your application,Technical
Feature not working,A feature I use regularly is not working,Technical
App update issue,After the recent update the app stopped working,Technical
Login loop,I keep getting redirected to the login page,Technical
Two factor auth,The OTP for two factor authentication is not arriving,Technical
Slow performance,The application is running very slowly,Technical
Data not syncing,My data is not syncing across devices,Technical
Upload failed,I cannot upload files to the platform,Technical
Download error,I am unable to download the attachment,Technical
Browser compatibility,The website does not work on my browser,Technical
Mobile app crash,The mobile app crashes every time I open it,Technical
API error,I am getting an API error in my integration,Technical
Notification issue,I am not receiving any notifications,Technical
Dark mode bug,Dark mode is not working properly in the app,Technical
Search not working,The search feature is not returning any results,Technical
Export failed,I cannot export my data to CSV,Technical
Integration broken,My third party integration has stopped working,Technical
Email not received,I am not receiving emails from your platform,Technical
Account locked,My account has been locked and I cannot access it,Technical
Session timeout,My session keeps timing out very quickly,Technical
Camera not working,The in-app camera feature is not functioning,Technical
Map not loading,The map feature is not loading on my device,Technical
PDF not opening,The PDF viewer is not opening my document,Technical
Video playback,Videos are not playing in the application,Technical
QR code scan,The QR code scanner is not working,Technical
Data loss,My saved data has disappeared after the update,Technical
Keyboard shortcut,A keyboard shortcut I use has stopped working,Technical
Font rendering,Text is displaying incorrectly on my screen,Technical
Import error,I cannot import my data file into the system,Technical
Dashboard broken,My dashboard is showing blank or broken widgets,Technical
Print not working,The print function is not working in the application,Technical
SSL error,I am getting an SSL certificate error on your site,Technical
Backup failed,My automated backup has failed,Technical
Settings reset,My application settings keep resetting after logout,Technical
Push notification,Push notifications are not appearing on my phone,Technical
Calendar sync,My calendar is not syncing with the application,Technical
Offline mode,The offline mode is not saving my work correctly,Technical
Voice input,The voice input feature is not recognizing my speech,Technical
File corruption,My file appears to be corrupted and cannot be opened,Technical
Screen freeze,The screen freezes after a few minutes of use,Technical
Leave encashment,I want to know about the leave encashment policy,HR
Medical reimbursement,How do I claim medical reimbursement,HR
Work from home policy,What is the work from home policy of the company,HR
Transfer request,I want to request a transfer to another department,HR
Resignation acceptance,Has my resignation been accepted,HR
Experience letter,I need an experience letter from HR,HR
Notice period,Can I waive my notice period,HR
Performance review,When is my performance review scheduled,HR
Promotion inquiry,I want to inquire about my promotion status,HR
Training schedule,Where can I find the training schedule,HR
Overtime payment,I have not been paid for my overtime hours,HR
Attendance record,My attendance record shows incorrect data,HR
Emergency contact update,I need to update my emergency contact details,HR
Maternity leave,What is the maternity leave policy,HR
Relocation allowance,Will I get a relocation allowance for my transfer,HR
Dress code policy,What is the company dress code policy,HR
Health insurance,How do I enroll in the company health insurance,HR
Tax declaration,I need to submit my tax declaration form,HR
Appraisal letter,I have not received my appraisal letter,HR
Confirmation letter,I need my employment confirmation letter,HR
Gratuity information,How is gratuity calculated at this company,HR
Team outing,I want to request approval for a team outing,HR
Referral bonus,When will I receive my employee referral bonus,HR
Remote work request,I want to request to work remotely,HR
ID card replacement,I lost my employee ID card and need a replacement,HR
Paternity leave,What is the paternity leave policy,HR
Sick leave policy,How many sick leaves am I entitled to per year,HR
Bonus information,When will the annual bonus be paid,HR
Exit interview,When will my exit interview be scheduled,HR
Final settlement,When will I receive my final settlement amount,HR
Relieving letter,I need a relieving letter from the company,HR
Company laptop return,How do I return the company laptop after resignation,HR
Background check,Has my background verification been completed,HR
Reimbursement claim,How do I submit my expense reimbursement claim,HR
Probation period,When does my probation period end,HR
Department change,I have been moved to a new department without notice,HR
Holiday list,Can you share the official holiday calendar,HR
Internship certificate,I need an internship completion certificate,HR
Travel allowance,Am I eligible for travel allowance for office visits,HR
Shift change,I want to request a change in my work shift timings,HR
Return policy,What is your return and refund policy,General
Warranty information,Does the product come with a warranty,General
Shipping time,How long does shipping usually take,General
Order tracking,How can I track my order,General
Product comparison,Can you help me compare two products,General
Delivery delay,My delivery is delayed beyond the expected date,General
Package damaged,My package arrived damaged,General
Wrong item received,I received the wrong item in my order,General
Bulk order discount,Is there a discount for bulk orders,General
Support hours,What are your customer support hours,General
Complaint registration,I want to register a formal complaint,General
Suggestion,I have a suggestion to improve your service,General
Newsletter unsubscribe,How do I unsubscribe from your newsletter,General
Social media,Are you active on social media platforms,General
Affiliate program,How can I join your affiliate program,General
Partnership inquiry,I am interested in a business partnership,General
Careers,Are there any open positions at your company,General
Press inquiry,I am a journalist and have a press inquiry,General
Accessibility,Does your website support accessibility features,General
Language support,Is your service available in other languages,General
Mobile app availability,Is there a mobile app for your service,General
Gift card,Do you offer gift cards,General
Loyalty program,How does your loyalty rewards program work,General
Terms of service,Where can I find your terms of service,General
Privacy policy,I have questions about your privacy policy,General
Missing item,One item is missing from my delivered package,General
Duplicate order,I accidentally placed the same order twice,General
Cancel order,I want to cancel my order placed just now,General
Order confirmation,I did not receive an order confirmation email,General
Pickup option,Is there an option to pick up my order in store,General
Free trial,How do I sign up for the free trial,General
Demo request,I would like to request a product demo,General
Custom quote,Can I get a custom pricing quote for my team,General
Review submission,How do I submit a review for a product,General
User manual,Where can I find the user manual for your product,General
Chargeback request,I want to initiate a chargeback for an unauthorized transaction,Billing
Subscription pause,Can I pause my subscription temporarily without losing data,Billing
Invoice language,I need my invoice in a different language,Billing
Prepaid balance,How do I top up my prepaid account balance,Billing
Plan comparison,Can you explain the difference between your pricing plans,Billing
Store credit,How do I use my store credit on my next purchase,General
Gift wrapping,Is gift wrapping available for my order,General
Express delivery,Is express or same day delivery available in my area,General
Installation help,Can someone help me install the product I purchased,General
Product registration,How do I register my product for warranty,General
Payment gateway,I want to know which payment gateways you support,Billing
Invoice correction,I need to correct the details on my invoice,Billing
Split payment,Can I split my payment across two cards,Billing
Account credit,I have an account credit that is not being applied,Billing
Currency conversion,How does currency conversion work for international payments,Billing
Subscription renewal,My subscription is about to expire and I want to renew,Billing
Zero amount invoice,I received an invoice with zero amount which is incorrect,Billing
Refund timeline,How long does it take for the refund to reflect in my account,Billing
Bank statement mismatch,The charge on my bank statement does not match the invoice,Billing
Locked payment,My payment is stuck in a processing state,Billing
Invoice PDF,I cannot download the PDF version of my invoice,Billing
Incorrect tax,The tax applied on my order is incorrect,Billing
Free plan limit,I was charged after exceeding my free plan limit without warning,Billing
Discount not applied,The discount promised at checkout was not applied,Billing
Multiple accounts billed,I was billed for two accounts but only use one,Billing
Refund wrong account,My refund was sent to the wrong bank account,Billing
Early cancellation fee,I was charged an early cancellation fee that was not disclosed,Billing
UPI payment failed,My UPI payment failed but the amount was deducted,Billing
International payment,I am unable to make a payment from my country,Billing
Payment link expired,The payment link I received has expired,Billing
Invoice due date,I need to change the due date on my invoice,Billing
Net banking issue,I cannot complete payment using net banking,Billing
Refund cancelled,My refund request was cancelled without explanation,Billing
Billing statement,I need a full billing statement for the past year,Billing
Card expiry update,I need to update my expired credit card details,Billing
Apple Pay issue,I cannot pay using Apple Pay on your platform,Billing
Google Pay issue,My Google Pay payment is not going through,Billing
Payment confirmation,I did not receive a payment confirmation after paying,Billing
Charity charge,I see a charity donation charge I did not authorize,Billing
Plan downgrade,I want to downgrade to a lower plan,Billing
Two-step verification,I want to enable two-step verification on my account,Technical
Account deletion,How do I permanently delete my account,Technical
Username change,I want to change my username in the system,Technical
Profile picture update,My profile picture is not updating after I change it,Technical
Data export,How do I export all my data from the platform,Technical
Email change,I cannot change the email address linked to my account,Technical
Permission denied,I keep getting a permission denied error,Technical
Link broken,A link on your website is broken and leads to an error,Technical
Infinite scroll broken,The infinite scroll on the feed is not loading more content,Technical
Image not loading,Images are not loading on your website,Technical
Form submission error,I get an error every time I submit the contact form,Technical
Chat support offline,The live chat support button is not working,Technical
Webhook failure,My configured webhook is not receiving any events,Technical
IP blocked,My IP address seems to be blocked from accessing the service,Technical
Plugin conflict,A plugin I installed is causing the platform to malfunction,Technical
Report generation,The report generation is taking too long or failing,Technical
User role issue,A user in my team does not have the correct permissions,Technical
Password strength,The system is not accepting my new password,Technical
Cache issue,I am seeing outdated content even after refreshing,Technical
Timeout error,I keep getting a timeout error when loading the dashboard,Technical
Multi-language bug,Content is mixing languages after I changed the language setting,Technical
Drag and drop broken,The drag and drop feature is not working,Technical
File size limit,I cannot upload files larger than the allowed size limit,Technical
Chart not rendering,Charts and graphs are not displaying on my dashboard,Technical
Copy paste issue,I cannot paste text into the input fields,Technical
Autofill not working,The autofill feature is not populating my saved details,Technical
Keyboard not appearing,The keyboard does not appear on the mobile app input fields,Technical
Geolocation error,The app is showing my location incorrectly,Technical
Auto-save not working,The auto-save feature is not saving my work,Technical
Speed issue,The platform is performing very slowly in my region,Technical
Onboarding process,What is the onboarding process for new employees,HR
Company car policy,What is the policy for company car usage,HR
Flexi hours,Does the company offer flexible working hours,HR
Employee handbook,Where can I find the employee handbook,HR
Canteen facilities,Is there a canteen or cafeteria available at the office,HR
Gym allowance,Does the company provide a gym or wellness allowance,HR
Work anniversary,Will the company acknowledge my work anniversary,HR
Staff discount,Are there any staff discounts available for employees,HR
Uniform policy,Does the company provide a uniform or clothing allowance,HR
Whistleblower policy,How do I report workplace misconduct confidentially,HR
Jury duty leave,Am I entitled to paid leave for jury duty,HR
Bereavement leave,What is the bereavement leave policy,HR
Study leave,Can I take study leave for professional certification,HR
Volunteer leave,Does the company offer paid volunteer leave,HR
Employee counseling,Is there an employee counseling or wellness program,HR
HR grievance,I want to raise a formal grievance with HR,HR
Job description,Can I get a copy of my official job description,HR
Contract renewal,I need information about my contract renewal,HR
Salary revision,When is the next salary revision scheduled,HR
Stock options,Does the company offer any stock option plan for employees,HR
Diversity policy,What is the company diversity and inclusion policy,HR
Anti-harassment policy,Where can I find the anti-harassment policy,HR
Disciplinary action,I have received a disciplinary notice and need guidance,HR
Childcare support,Does the company offer any childcare support or allowance,HR
Insurance claim,How do I file a claim under the company health insurance,HR
PF withdrawal,How do I apply for provident fund withdrawal,HR
ESIC registration,I need details about my ESIC registration,HR
Employee survey,When will the next employee satisfaction survey be conducted,HR
Office facilities,What office facilities and amenities are available at office,HR
Domestic violence leave,Is there a leave policy for domestic violence situations,HR
Size guide,Where can I find the size guide for clothing items,General
Product recall,Has any product been recalled that I purchased,General
Environmental policy,What is your company environmental sustainability policy,General
Product customization,Can I customize the product before ordering,General
Preorder availability,Can I preorder a product that is not yet released,General
International shipping,Do you ship internationally,General
Customs duty,Will I be charged customs duty on my international order,General
Account closure,How do I close my account permanently,General
Data deletion,I want all my personal data deleted from your systems,General
Cookie policy,Can you explain your cookie usage policy,General
GDPR request,I want to make a GDPR data subject access request,General
Waitlist,How do I join the waitlist for an out of stock product,General
Referral code,How do I share my referral code with friends,General
Community forum,Is there a community forum or user group I can join,General
Webinar registration,How do I register for your upcoming webinar,General
App rating,How do I rate and review your mobile app,General
Third party seller,I bought from a third party seller on your platform and need help,General
Repair service,Do you offer a repair or maintenance service for your products,General
Spare parts,Where can I order spare parts for my product,General
Trade in program,Do you have a trade-in program for old products,General
Reseller inquiry,I want to become a reseller or distributor for your products,General
Product launch,When is your next product launch scheduled,General
